timestamp,ticker,price,change,change_percent,prev_close,open,volume,52wk_range
2025-11-16 13:47:17,RELIANCE.NS,,7.30,,,,,
2025-11-16 14:21:13,RELIENCE,,-3.38,,,,,
2025-11-16 14:26:30,HDFCBANK.NS,,2.35,,,,,
2025-11-16 14:30:55,HDFCBANK.NS,,2.35,,,,,
2025-11-16 14:31:12,HDFCBANK.NS,,2.35,,,,,
2025-11-16 14:32:17,RELIANCE.NS,,7.30,,,,,
2025-11-16 18:05:04,HDFCBANK.NS,,2.35,,,,,
2025-11-16 19:02:54,ADANIENT.NS,,35.90,,,,,
2025-11-16 19:17:29,RELIANCE.NS,,7.30,,,,,
2025-11-16 19:19:41,RELIANCE.NS,,7.30,,,,,
2025-11-16 19:24:02,RELIANCE.NS,,7.30,,,,,
2025-11-16 19:26:34,RELIANCE.NS,,7.30,,,,,
2025-11-16 19:43:46,RELIANCE.NS,,7.30,,,,,
2025-11-16 19:44:33,RELIANCE.NS,,7.30,,,,,
2025-11-16 19:54:00,HDFCBANK.NS,,2.35,,,,,
2025-11-16 20:01:12,HDFCBANK.NS,,2.35,,,,,
2025-11-16 20:02:05,INFY.NS,,-36.00,,,,,
2025-11-16 20:06:13,ADANIENT.NS,,35.90,,,,,
HDFCBANK.NS,989.0,2025-11-16 20:23:45
HDFCBANK.NS,989.0,2025-11-16 20:31:06
HDFCBANK.NS,989.0,2025-11-16 20:45:29
ADANIENT.NS,2524.1,2025-11-16 21:03:05
SBIN.NS,967.95,2025-11-16 21:03:42
INFY.NS,1505.8,2025-11-16 21:36:16
INFY.NS,1505.8,2025-11-16 21:36:17
INFY.NS,1505.8,2025-11-16 21:36:49
INFY.NS,1505.8,2025-11-16 21:53:14
RELIANCE.NS,1518.2,2025-11-16 21:53:52
RELIANCE.NS,1518.2,2025-11-16 21:54:27
RELIANCE.NS,1518.2,2025-11-16 21:55:04
RELIANCE.NS,1518.2,2025-11-16 21:55:46
RELIANCE.NS,1518.2,2025-11-16 21:56:33
RELIANCE.NS,1518.2,2025-11-16 21:57:16
RELIANCE.NS,1518.2,2025-11-16 21:57:53
RELIANCE.NS,1518.2,2025-11-16 21:58:32
RELIANCE.NS,1518.2,2025-11-16 21:59:09
RELIANCE.NS,1518.2,2025-11-16 21:59:46
RELIANCE.NS,1518.2,2025-11-16 22:00:23
RELIANCE.NS,1518.2,2025-11-16 22:00:59
RELIANCE.NS,1518.2,2025-11-16 22:01:36
RELIANCE.NS,1518.2,2025-11-16 22:02:13
RELIANCE.NS,1518.2,2025-11-16 22:02:58
RELIANCE.NS,1518.2,2025-11-16 22:03:37
RELIANCE.NS,1518.2,2025-11-16 22:04:13
RELIANCE.NS,1518.2,2025-11-16 22:04:49
RELIANCE.NS,1518.2,2025-11-16 22:05:26
RELIANCE.NS,1518.2,2025-11-16 22:06:03
RELIANCE.NS,1518.2,2025-11-16 22:06:44
RELIANCE.NS,1518.2,2025-11-16 22:07:23
RELIANCE.NS,1518.2,2025-11-16 22:07:59
RELIANCE.NS,1518.2,2025-11-16 22:08:28
HINDUNILVR.NS,2426.0,2025-11-16 22:08:36
RELIANCE.NS,1518.2,2025-11-16 22:09:13
RELIANCE.NS,1518.2,2025-11-16 22:09:49
RELIANCE.NS,1518.2,2025-11-16 22:10:25
RELIANCE.NS,1518.2,2025-11-16 22:11:03
RELIANCE.NS,1518.2,2025-11-16 22:11:40
RELIANCE.NS,1518.2,2025-11-16 22:12:17
RELIANCE.NS,1518.2,2025-11-16 22:12:33
ITC.NS,408.25,2025-11-16 22:13:43
ITC.NS,408.25,2025-11-16 22:13:50
ITC.NS,408.25,2025-11-16 22:13:51
ITC.NS,408.25,2025-11-16 22:13:51
HDFCBANK.NS,989.0,2025-11-16 22:13:55
HDFCBANK.NS,989.0,2025-11-16 22:14:39
RELIANCE.NS,1518.2,2025-11-16 22:16:49
RELIANCE.NS,1519.3,2025-11-17 09:18:02
RELIANCE.NS,1520.3,2025-11-17 09:24:22
HDFCBANK.NS,991.7,2025-11-17 09:33:09
RELIANCE.NS,1520.8,2025-11-17 09:35:12
RELIANCE.NS,1522.8,2025-11-17 09:44:56
RELIANCE.NS,1522.7,2025-11-17 09:47:37
RELIANCE.NS,1522.5,2025-11-17 09:51:20
RELIANCE.NS,1522.5,2025-11-17 09:51:25
RELIANCE.NS,1521.7,2025-11-17 09:53:35
RELIANCE.NS,1522.4,2025-11-17 09:54:04
RELIANCE.NS,1522.2,2025-11-17 09:57:15
RELIANCE.NS,1521.2,2025-11-17 09:59:45
RELIANCE.NS,1519.8,2025-11-17 10:03:03
