Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA20,SMA50,EMA20,signal,signal_change
2025-05-14 00:00:00+05:30,948.2327622761527,952.2287366384547,938.8101397074491,942.5594482421875,15445308,0.0,0.0,942.5594482421875,942.5594482421875,942.5594482421875,0,0.0
2025-05-15 00:00:00+05:30,943.9901042439285,959.4314088460198,935.85013208818,954.0047607421875,32241458,0.0,0.0,948.2821044921875,948.2821044921875,943.6494780040922,0,0.0
2025-05-16 00:00:00+05:30,954.0047801554118,958.9380967138302,951.340777169636,954.44873046875,15868010,0.0,0.0,950.337646484375,950.337646484375,944.6779782388215,0,0.0
2025-05-19 00:00:00+05:30,955.5834183781088,959.5300716290252,952.6234284399217,956.4220581054688,10202964,0.0,0.0,951.8587493896484,951.8587493896484,945.796462035645,0,0.0
2025-05-20 00:00:00+05:30,951.1927398071444,954.3993955236706,943.7434439560598,944.6807861328125,23879090,0.0,0.0,950.4231567382812,950.4231567382812,945.6902071877563,0,0.0
2025-05-21 00:00:00+05:30,950.6500948788123,960.4674068130723,947.739426083267,950.5514526367188,15132040,0.0,0.0,950.4445393880209,950.4445393880209,946.1531829448003,0,0.0
2025-05-22 00:00:00+05:30,944.828766015395,949.2687509312965,939.895449442171,947.1474609375,21306670,0.0,0.0,949.9735281808036,949.9735281808036,946.2478760869622,0,0.0
2025-05-23 00:00:00+05:30,947.246089616049,955.583406549638,944.4834444188342,953.9060668945312,9566072,0.0,0.0,950.4650955200195,950.4650955200195,946.9772275924449,0,0.0
2025-05-26 00:00:00+05:30,954.5966869630639,961.9473401627192,950.6007128758197,957.1619873046875,10802860,0.0,0.0,951.2091946072048,951.2091946072048,947.9472047078966,0,0.0
2025-05-27 00:00:00+05:30,952.9193700568147,961.0100208805311,945.3714322062008,950.3047485351562,26162148,0.0,0.0,951.11875,951.11875,948.1717326914452,0,0.0
2025-05-28 00:00:00+05:30,947.2953823933067,954.3500488693757,946.0620533045636,948.9234008789062,18157594,0.0,0.0,950.9191728071733,950.9191728071733,948.24332013787,0,0.0
2025-05-29 00:00:00+05:30,951.1433943336576,957.4580633637506,940.9314535555673,950.896728515625,28917794,0.0,0.0,950.9173024495443,950.9173024495443,948.4960256976563,0,0.0
2025-05-30 00:00:00+05:30,953.0674016093235,961.4047183192448,949.8607459686729,959.480712890625,28748078,0.0,0.0,951.5760263296274,951.5760263296274,949.542186382701,0,0.0
2025-06-02 00:00:00+05:30,952.1793523801688,955.09002099665,941.2767355690125,953.166015625,14668822,0.0,0.0,951.6895969935825,951.6895969935825,949.8873129772056,0,0.0
2025-06-03 00:00:00+05:30,956.0767204883472,962.9833634640112,947.1967509482078,949.466064453125,24377584,0.0,0.0,951.5413614908854,951.5413614908854,949.8471940701503,0,0.0
2025-06-04 00:00:00+05:30,947.690059651711,958.6913790708478,947.6407385330224,957.6553344726562,12961542,0.0,0.0,951.9234848022461,951.9234848022461,950.5908264894365,0,0.0
2025-06-05 00:00:00+05:30,961.0099978567567,966.3873245707182,957.1619871239031,961.79931640625,22255418,0.0,0.0,952.5044160730698,952.5044160730698,951.6583017196092,0,0.0
2025-06-06 00:00:00+05:30,959.0366899431259,984.8379583134906,958.3953347348495,976.1552734375,30127008,0.0,0.0,953.8183525933159,953.8183525933159,953.9913466451226,0,0.0
2025-06-09 00:00:00+05:30,984.1966559557253,984.1966559557253,974.7740333489505,976.2540283203125,13202588,0.0,0.0,954.999177631579,954.999177631579,956.1116020427597,0,0.0
2025-06-10 00:00:00+05:30,978.1780428487654,978.1780428487654,967.472709657825,969.5447387695312,15533126,0.0,0.0,955.7264556884766,955.7264556884766,957.3909483976904,0,0.0
2025-06-11 00:00:00+05:30,970.6793107759778,970.6793107759778,960.516691162301,962.1940307617188,11096394,0.0,0.0,956.7081848144531,956.034435453869,957.8483848133122,1,1.0
2025-06-12 00:00:00+05:30,961.9966994408974,967.4233474890254,954.7447484104943,958.74072265625,16349130,0.0,0.0,956.9449829101562,956.1574485085227,957.9333693697824,1,0.0
2025-06-13 00:00:00+05:30,947.19676434732,953.6100757725884,943.7434428106371,946.0127563476562,12117762,0.0,0.0,956.5231842041015,955.7163749363111,956.7980728914847,0,-1.0
2025-06-16 00:00:00+05:30,949.1700746468088,956.520728121515,947.2460692080249,954.7940673828125,16513746,0.0,0.0,956.4417846679687,955.6779454549154,956.6072152239921,0,0.0
2025-06-17 00:00:00+05:30,955.5834055099792,957.852719054467,946.7527569357399,951.9327392578125,16978736,0.0,0.0,956.8043823242188,955.5281372070312,956.1620270367368,0,0.0
2025-06-18 00:00:00+05:30,945.7167603313338,955.2380851367438,945.7167603313338,954.0540771484375,18433816,0.0,0.0,956.9795135498047,955.4714425893931,955.9612699045178,0,0.0
2025-06-19 00:00:00+05:30,954.0540746334422,960.4180648603083,949.9593979158449,954.7447509765625,16876220,0.0,0.0,957.3593780517579,955.4445280852141,955.8454109589983,0,0.0
2025-06-20 00:00:00+05:30,952.9193918485255,971.8140179089729,952.9193918485255,969.2486572265625,32900408,0.0,0.0,958.1265075683593,955.9375326974051,957.1219106035282,1,1.0
2025-06-23 00:00:00+05:30,961.2073974609375,965.8940481289003,957.9514206200562,961.2073974609375,11739518,0.0,0.0,958.3287780761718,956.1192521720097,957.5110045899482,1,0.0
2025-06-24 00:00:00+05:30,969.3966711141703,976.3033140635843,964.7593416610487,967.3740234375,22625322,0.0,0.0,959.182241821289,956.4944112141927,958.4503397182865,1,0.0
2025-06-25 00:00:00+05:30,969.8900392545883,977.7833457795492,968.854054817417,976.8953247070312,18405932,0.0,0.0,960.5808380126953,957.1525051978326,960.2070049553098,1,0.0
2025-06-26 00:00:00+05:30,977.4872979366618,1000.0325292056699,976.7966216145232,997.4179077148438,50084830,0.0,0.0,962.9068969726562,958.4107990264893,963.7509004562178,1,0.0
2025-06-27 00:00:00+05:30,1004.0015037809444,1007.393088107433,994.2258430942326,1004.9491577148438,28213384,11.0,0.0,965.1803192138672,959.8210523200758,967.6745440046584,1,0.0
2025-06-30 00:00:00+05:30,1003.2533964547342,1004.400566128524,995.2732550959096,998.2658081054688,13649020,0.0,0.0,967.4353088378906,960.9517804314108,970.587997728545,1,0.0
2025-07-01 00:00:00+05:30,1000.0114368496795,1005.4977838847651,999.5126780283082,1003.5526123046875,14389386,0.0,0.0,970.1396362304688,962.1689470563616,973.7274848310348,1,0.0
2025-07-02 00:00:00+05:30,1007.4429706558585,1007.4429706558585,986.4950998423908,990.5350341796875,18878250,0.0,0.0,971.7836212158203,962.9568939208984,975.3282038166208,1,0.0
2025-07-03 00:00:00+05:30,994.9739612315547,1001.507689459166,989.6871300276722,991.0836181640625,16860506,0.0,0.0,973.247836303711,963.7170756572002,976.8287194687581,1,0.0
2025-07-04 00:00:00+05:30,991.0836632772651,999.2633203019867,987.5424877454124,992.1809692382812,7863944,0.0,0.0,974.04912109375,964.4661254882812,978.2908384944269,1,0.0
2025-07-07 00:00:00+05:30,992.0312782906421,996.7196233059492,989.4377568185034,991.2332763671875,11349426,0.0,0.0,974.7980834960938,965.1524626903044,979.523451625166,1,0.0
2025-07-08 00:00:00+05:30,986.0462146584523,1000.0114620081927,986.0462146584523,998.2159423828125,15224316,0.0,0.0,976.2316436767578,965.9790496826172,981.30368884018,1,0.0
