Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-05-14 00:00:00+05:30,2443.6505328812145,2480.6316254936078,2428.858291048951,2460.641845703125,774441,0.0,0.0
2025-05-15 00:00:00+05:30,2462.1409859323785,2525.508731877638,2449.4475250493674,2518.712158203125,1554800,0.0,0.0
2025-05-16 00:00:00+05:30,2527.707622538527,2582.879365259327,2514.914114831245,2553.6943359375,1641135,0.0,0.0
2025-05-19 00:00:00+05:30,2569.9860201831957,2577.482187408082,2534.7040109748923,2539.3017578125,680957,0.0,0.0
2025-05-20 00:00:00+05:30,2543.6992539150233,2563.4891829647613,2491.226086594576,2500.321533203125,628023,0.0,0.0
2025-05-21 00:00:00+05:30,2508.4173663407737,2523.2098515881935,2482.4306536684453,2499.1220703125,529234,0.0,0.0
2025-05-22 00:00:00+05:30,2499.122121015119,2520.611133853209,2464.0402046052413,2486.328857421875,906909,0.0,0.0
2025-05-23 00:00:00+05:30,2497.722857810193,2546.7978623066833,2489.227201831247,2538.701904296875,968415,0.0,0.0
2025-05-26 00:00:00+05:30,2547.797380158323,2567.587066156468,2540.0013175448244,2546.39794921875,552912,0.0,0.0
2025-05-27 00:00:00+05:30,2544.598700431426,2567.7870381927005,2524.809015365557,2539.001708984375,514936,0.0,0.0
2025-05-28 00:00:00+05:30,2557.692111491209,2557.692111491209,2508.7171550773483,2513.714599609375,575989,0.0,0.0
2025-05-29 00:00:00+05:30,2535.40346271688,2557.6921141561106,2509.716646598669,2539.50146484375,802317,0.0,0.0
2025-05-30 00:00:00+05:30,2548.6967749873806,2562.6896200265273,2512.515324475044,2518.612060546875,684592,0.0,0.0
2025-06-02 00:00:00+05:30,2525.708455506225,2562.689544882454,2513.6145421849583,2517.5126953125,1008716,0.0,0.0
2025-06-03 00:00:00+05:30,2509.716812475212,2511.216045935472,2450.7469630383193,2469.63720703125,962656,0.0,0.0
2025-06-04 00:00:00+05:30,2478.732587057114,2501.720832824176,2439.8525646487296,2488.127685546875,552667,0.0,0.0
2025-06-05 00:00:00+05:30,2493.7250183319943,2528.80717932249,2486.2288509422187,2503.1201171875,673209,0.0,0.0
2025-06-06 00:00:00+05:30,2513.6146000988706,2551.9951212317815,2502.7202684217455,2532.90478515625,640680,0.0,0.0
2025-06-09 00:00:00+05:30,2543.699379895506,2602.7692744966716,2523.2098564032235,2580.780517578125,1711167,0.0,0.0
2025-06-10 00:00:00+05:30,2598.6712457085496,2661.8388979549095,2576.3825935287246,2611.7646484375,2084054,0.0,0.0
2025-06-11 00:00:00+05:30,2628.6559695136343,2629.555411972903,2561.790255576076,2579.880859375,745432,0.0,0.0
2025-06-12 00:00:00+05:30,2590.175521247491,2600.470305867311,2528.7069530218605,2542.39990234375,955097,0.0,0.0
2025-06-13 00:00:00+05:30,2498.0,2516.0,2460.0,2507.89990234375,695869,1.3,0.0
2025-06-16 00:00:00+05:30,2500.0,2563.300048828125,2462.0,2544.0,956459,0.0,0.0
