Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA20,SMA50,EMA20,signal,signal_change
2025-05-14 00:00:00+05:30,2443.6505328812145,2480.6316254936078,2428.858291048951,2460.641845703125,774441,0.0,0.0,2460.641845703125,2460.641845703125,2460.641845703125,0,0.0
2025-05-15 00:00:00+05:30,2462.1409859323785,2525.508731877638,2449.4475250493674,2518.712158203125,1554800,0.0,0.0,2489.677001953125,2489.677001953125,2466.172351655506,0,0.0
2025-05-16 00:00:00+05:30,2527.707622538527,2582.879365259327,2514.914114831245,2553.6943359375,1641135,0.0,0.0,2511.01611328125,2511.01611328125,2474.507778729982,0,0.0
2025-05-19 00:00:00+05:30,2569.9860201831957,2577.482187408082,2534.7040109748923,2539.3017578125,680957,0.0,0.0,2518.0875244140625,2518.0875244140625,2480.6786338806983,0,0.0
2025-05-20 00:00:00+05:30,2543.6992539150233,2563.4891829647613,2491.226086594576,2500.321533203125,628023,0.0,0.0,2514.534326171875,2514.534326171875,2482.54938619712,0,0.0
2025-05-21 00:00:00+05:30,2508.4173663407737,2523.2098515881935,2482.4306536684453,2499.1220703125,529234,0.0,0.0,2511.965616861979,2511.965616861979,2484.1277370652515,0,0.0
2025-05-22 00:00:00+05:30,2499.122121015119,2520.611133853209,2464.0402046052413,2486.328857421875,906909,0.0,0.0,2508.30322265625,2508.30322265625,2484.3373675754065,0,0.0
2025-05-23 00:00:00+05:30,2497.722857810193,2546.7978623066833,2489.227201831247,2538.701904296875,968415,0.0,0.0,2512.103057861328,2512.103057861328,2489.5149425012605,0,0.0
2025-05-26 00:00:00+05:30,2547.797380158323,2567.587066156468,2540.0013175448244,2546.39794921875,552912,0.0,0.0,2515.9136013454863,2515.9136013454863,2494.9323717124503,0,0.0
2025-05-27 00:00:00+05:30,2544.598700431426,2567.7870381927005,2524.809015365557,2539.001708984375,514936,0.0,0.0,2518.222412109375,2518.222412109375,2499.1294514526335,0,0.0
2025-05-28 00:00:00+05:30,2557.692111491209,2557.692111491209,2508.7171550773483,2513.714599609375,575989,0.0,0.0,2517.8126109730115,2517.8126109730115,2500.518513181847,0,0.0
2025-05-29 00:00:00+05:30,2535.40346271688,2557.6921141561106,2509.716646598669,2539.50146484375,802317,0.0,0.0,2519.6200154622397,2519.6200154622397,2504.2311752448854,0,0.0
2025-05-30 00:00:00+05:30,2548.6967749873806,2562.6896200265273,2512.515324475044,2518.612060546875,684592,0.0,0.0,2519.54248046875,2519.54248046875,2505.6007833688845,0,0.0
2025-06-02 00:00:00+05:30,2525.708455506225,2562.689544882454,2513.6145421849583,2517.5126953125,1008716,0.0,0.0,2519.3974958147323,2519.3974958147323,2506.7352511730387,0,0.0
2025-06-03 00:00:00+05:30,2509.716812475212,2511.216045935472,2450.7469630383193,2469.63720703125,962656,0.0,0.0,2516.080143229167,2516.080143229167,2503.202104111916,0,0.0
