Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-05-14 00:00:00+05:30,1528.75740058924,1549.1537826809642,1524.3867472838704,1546.6285400390625,4870057,0.0,0.0
2025-05-15 00:00:00+05:30,1544.103254657481,1572.0753639006625,1525.8435894847285,1566.6363525390625,11151167,0.0,0.0
2025-05-16 00:00:00+05:30,1566.2479103864578,1566.2479103864578,1536.0418626920532,1544.200439453125,4576751,0.0,0.0
2025-05-19 00:00:00+05:30,1531.185508443418,1539.4411867318856,1510.9833306187809,1514.965576171875,8855798,0.0,0.0
2025-05-20 00:00:00+05:30,1524.8723866170074,1537.9843466293191,1513.2173110505078,1515.7425537109375,7143998,0.0,0.0
2025-05-21 00:00:00+05:30,1522.832797268108,1525.8436681268927,1507.4869000940212,1523.41552734375,4157309,0.0,0.0
2025-05-22 00:00:00+05:30,1510.7890929485561,1515.936798484799,1495.7346211126817,1503.01904296875,6158990,0.0,0.0
2025-05-23 00:00:00+05:30,1505.447258808557,1541.5779455953386,1505.447258808557,1519.8218994140625,5038421,0.0,0.0
2025-05-26 00:00:00+05:30,1521.5700705826603,1538.275749801986,1517.782147363295,1535.070556640625,3170102,0.0,0.0
2025-05-27 00:00:00+05:30,1534.487964353223,1537.401733466409,1511.6634396332652,1524.9696044921875,7775714,0.0,0.0
2025-05-28 00:00:00+05:30,1535.556238237006,1542.063608140773,1524.8724187426308,1526.6207275390625,3623370,0.0,0.0
2025-05-29 00:00:00+05:30,1543.3263431603168,1562.6543682753302,1531.2827406845122,1540.0240478515625,8609500,0.0,0.0
2025-05-30 00:00:00+05:30,1547.3124739974683,1548.297396005105,1531.652190030095,1539.1375732421875,13148092,22.0,0.0
2025-06-02 00:00:00+05:30,1536.4782943781508,1536.4782943781508,1515.7949327230604,1530.371826171875,4374509,0.0,0.0
2025-06-03 00:00:00+05:30,1535.4933708621093,1543.6682714095227,1512.4461724234918,1519.734619140625,6853403,0.0,0.0
2025-06-04 00:00:00+05:30,1519.7346010168856,1533.8190332918903,1518.158749909477,1527.8109130859375,4548307,0.0,0.0
2025-06-05 00:00:00+05:30,1524.5607331925255,1544.0621159555858,1518.3556767230737,1530.8642578125,6948539,0.0,0.0
2025-06-06 00:00:00+05:30,1531.2581829658582,1545.2441474823067,1519.8331118292815,1540.2210693359375,3960020,0.0,0.0
2025-06-09 00:00:00+05:30,1554.2069160448225,1564.0561360451065,1547.3124620446238,1549.183837890625,2903202,0.0,0.0
2025-06-10 00:00:00+05:30,1560.116482612782,1583.2621501262925,1553.7144894707471,1571.935546875,8591925,0.0,0.0
2025-06-11 00:00:00+05:30,1566.1244242034918,1609.9534525332194,1566.1244242034918,1606.5062255859375,10597410,0.0,0.0
2025-06-12 00:00:00+05:30,1592.6188275892266,1603.452969273507,1574.0037782857437,1584.345458984375,10483574,0.0,0.0
2025-06-13 00:00:00+05:30,1552.2369998927122,1584.7394243828517,1546.5244044661895,1577.844970703125,6968315,0.0,0.0
2025-06-16 00:00:00+05:30,1575.875214344727,1610.1505483486199,1573.01891647278,1599.31640625,5591842,0.0,0.0
2025-06-17 00:00:00+05:30,1596.2630097727385,1622.5604988569514,1591.2399317053334,1615.173583984375,7622083,0.0,0.0
2025-06-18 00:00:00+05:30,1596.5585788351507,1619.9011823893957,1596.5585788351507,1608.2791748046875,5629707,0.0,0.0
2025-06-19 00:00:00+05:30,1599.4148737815738,1605.4228739879738,1587.2018168292147,1593.997802734375,5147760,0.0,0.0
2025-06-20 00:00:00+05:30,1594.58871180959,1606.1122510729595,1584.6410236941556,1598.429931640625,9202821,0.0,0.0
2025-06-23 00:00:00+05:30,1576.8601291540897,1576.8601291540897,1551.6461498856431,1560.116455078125,7943676,0.0,0.0
2025-06-24 00:00:00+05:30,1576.860073737694,1584.739449496533,1552.827953627288,1557.7525634765625,8083992,0.0,0.0
2025-06-25 00:00:00+05:30,1566.025955644839,1595.4751470327865,1561.199813873949,1590.550537109375,7813533,0.0,0.0
2025-06-26 00:00:00+05:30,1584.5425210067874,1599.5132869304996,1582.3756205245834,1591.6339111328125,6519233,0.0,0.0
2025-06-27 00:00:00+05:30,1594.5886581952298,1605.0288069577266,1578.238977654369,1583.7545166015625,8912268,0.0,0.0
2025-06-30 00:00:00+05:30,1590.648993297183,1590.648993297183,1570.064099926214,1577.6480712890625,6294505,0.0,0.0
2025-07-01 00:00:00+05:30,1584.7395342639384,1593.308307768125,1576.3676970723639,1582.57275390625,4178937,0.0,0.0
2025-07-02 00:00:00+05:30,1593.6038341220215,1624.1364168524187,1579.2239966239758,1586.2169189453125,8653641,0.0,0.0
2025-07-03 00:00:00+05:30,1594.0962765801005,1607.786716594206,1590.6490495377586,1594.293212890625,5259695,0.0,0.0
2025-07-04 00:00:00+05:30,1600.4981989662078,1618.6207872342948,1587.9897380569496,1615.96142578125,4411273,0.0,0.0
